sample	Minutes	Temperature	Lifestyle	Identification	OD_avg	Genus
TS-001	4020	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	4020	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4050	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	4050	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4080	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00237499999999999	Apiotrichum
TS-001	4080	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4110	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00262499999999999	Apiotrichum
TS-001	4110	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4140	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	4140	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4170	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00287499999999999	Apiotrichum
TS-001	4170	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4200	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	4200	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4230	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00212499999999999	Apiotrichum
TS-001	4230	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4260	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	4260	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4290	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00237499999999999	Apiotrichum
TS-001	4290	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4320	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00212499999999999	Apiotrichum
TS-001	4320	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4350	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	4350	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4380	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	4380	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	4410	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00212499999999999	Apiotrichum
TS-001	4410	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
